Generations,Fitness,Evaluations
3,45.50609388600842,372
3,42.16253744795347,372
3,64.38673278927817,372
3,69.33446459228321,372
3,71.38811442069832,372
3,67.2799310800949,372
3,55.50397820326685,372
3,48.5672629481522,372
3,85.01485763181721,372
3,72.24407493184285,372
3,61.85201520150551,372
3,46.0375972881659,372
3,51.414691458756764,372
3,49.55052843393162,372
3,41.771337874701146,372
3,53.0471183262953,372
3,41.62237267828666,372
4,34.29794505151252,459
4,34.29794505151252,459
4,56.46261279226524,459
4,50.38393599764826,459
4,33.27883813557969,459
4,52.06874604277914,459
4,53.341215775990804,459
4,40.992012859118205,459
4,37.08312884191791,459
4,42.70155596186779,459
4,35.08741435112904,459
4,49.742995332571404,459
4,52.86509311459802,459
4,47.279569523124906,459
4,36.16645885628425,459
4,67.37790015312333,459
4,47.87258749580588,459
4,71.07744102331222,459
4,45.51854211122208,459
4,34.29794505151252,459
4,38.00460217015218,459
4,44.24269475947194,459
4,54.705271760242375,459
4,32.31084007053484,459
4,33.03696523693169,459
4,33.03696523693169,459
4,59.68260029694604,459
4,72.09569916926378,459
4,66.4696559254223,459
4,50.10721969578278,459
4,64.4057647323464,459
4,40.87527543642813,459
4,58.20835059761759,459
4,34.365960695318705,459
4,33.03696523693169,459
4,36.84235850303344,459
4,43.9047927075961,459
4,53.4476378087298,459
4,64.46132335907738,459
4,49.742995332571404,459
4,60.139389105491595,459
4,27.13804265521796,459
4,49.58670745882343,459
4,33.85523181047811,459
4,56.81646321560861,459
4,57.71664617357906,459
4,31.26838606366084,459
4,47.410796006353,459
4,71.98775316849887,459
4,54.65701483854169,459
4,36.25786549559589,459
4,54.809411519185765,459
4,55.92472665764066,459
4,25.92692510317793,459
4,56.16781170980501,459
4,44.672348429692676,459
4,42.70359734620206,459
4,33.756885153263916,459
4,43.336701508939605,459
4,66.91283589747195,459
4,35.16279209532989,459
4,53.37815134486865,459
4,48.96740793840077,459
4,55.955219254074535,459
4,44.26997614080894,459
4,50.059323552020345,459
4,41.861647940949716,459
4,41.689231928638456,459
4,41.9245199048741,459
4,41.9245199048741,459
4,55.679226117150385,459
4,30.906127718454456,459
4,54.077428776741414,459
4,21.99185414947224,459
4,55.67436832556456,459
4,47.63400409763507,459
4,52.01503884532145,459
4,56.56511631556461,459
4,46.498572989079385,459
4,34.62643865021555,459
4,57.35739053180958,459
4,37.82631447885429,459
4,41.21467645754903,459
4,63.10683348605387,459
4,50.95716188125038,459
4,48.66116991033252,459
4,35.856462593105014,459
4,45.79187877591224,459
4,60.06815090061513,459
4,51.72419891250121,459
