Generations,Variaveis de Decisão,Evaluations,Best Fitness,Media,Desvio Padrao
63,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",5806,"(2.910940681518033,)",3.4599511553954683,2.633908125071889
64,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",5898,"(2.910940681518033,)",4.589619453689014,6.4064206347733865
65,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",5978,"(2.910940681518033,)",3.149398969820669,2.2014492864185655
66,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",6066,"(2.910940681518033,)",3.256635864358891,2.2644115107716045
67,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",6162,"(2.910940681518033,)",4.023115027543183,5.868283764385201
68,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",6248,"(2.910940681518033,)",3.0928883419824205,1.2941660639714705
69,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",6339,"(2.910940681518033,)",3.2935974765506533,3.171256802119232
70,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",6429,"(2.910940681518033,)",3.403018928653669,4.896116739734046
71,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",6517,"(2.910940681518033,)",3.7779052456082978,4.6640994705249135
72,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",6596,"(2.910940681518033,)",3.2456272804702246,1.919451691596548
73,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",6690,"(2.910940681518033,)",3.4736480604067594,3.2629464275852302
74,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",6778,"(2.910940681518033,)",3.8197928453856878,4.19998203940526
75,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",6874,"(2.910940681518033,)",3.7956259283752742,4.682356437251289
76,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",6950,"(2.910940681518033,)",3.0547568155514564,1.3213032619993286
77,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",7041,"(2.910940681518033,)",3.827773659369673,4.89472733515328
78,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",7131,"(2.910940681518033,)",3.8928728142159605,5.230464988324426
79,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",7227,"(2.910940681518033,)",3.259590536348004,2.3754123847834983
80,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",7317,"(2.910940681518033,)",4.145251520481065,5.876545527983355
81,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",7409,"(2.910940681518033,)",3.4569604104785037,3.986009868889873
82,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",7508,"(2.910940681518033,)",3.411981008553985,2.5877365941498014
83,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",7598,"(2.910940681518033,)",3.93238702551647,5.831613888785066
84,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",7686,"(2.910940681518033,)",3.3143195539062207,2.5934962755432154
85,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",7778,"(2.910940681518033,)",2.9188413177970913,0.07861033842811738
86,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",7868,"(2.910940681518033,)",3.277589050050617,2.5240295527801573
87,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",7958,"(2.910940681518033,)",3.5000074826284435,3.3923609329874482
88,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",8052,"(2.910940681518033,)",3.6894113955129253,4.823706684372146
89,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",8142,"(2.910940681518033,)",3.1223007110279353,1.4234225251908212
90,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",8225,"(2.910940681518033,)",2.910940681518033,0.0
91,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",8317,"(2.910940681518033,)",3.3431303762989693,2.6879291815155706
92,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",8405,"(2.910940681518033,)",3.6913833156898335,5.161095016155424
93,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",8493,"(2.910940681518033,)",3.589095808644032,4.134261092413609
94,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",8583,"(2.910940681518033,)",3.4422160657500207,3.6109448810753513
95,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",8673,"(2.910940681518033,)",3.4619660901586196,3.9523340331751804
96,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",8764,"(2.910940681518033,)",4.643807347568112,7.692099318392965
97,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",8856,"(2.910940681518033,)",3.46511726024015,2.799810261385529
98,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",8952,"(2.910940681518033,)",4.2852633342585,7.453600635163137
99,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",9039,"(2.910940681518033,)",3.3958824592618155,3.1881733982180864
100,"[0.9920953811230488, 0.0014990970093354816, 0.05210136827789952, -0.015339956547559201, 0.016320136505173794, -0.029559113216439892, 0.9932534607775431, -0.018284802086154767, -0.010954677654355455, -0.010592179329568296]",9130,"(2.910940681518033,)",3.433462652682215,3.5070815825292376
