Generations,Best Solution,Evaluations,Best Fitness,Media,Desvio Padrao
45,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",13241,"(2.740538297826941,)",3.4916519492175553,4.005774614142025
46,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",13329,"(2.740538297826941,)",3.0687190583251938,2.097593573570949
47,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",13420,"(2.740538297826941,)",3.509204366441015,5.314027259953699
48,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",13506,"(2.740538297826941,)",3.4001738055504314,3.8278895462457085
49,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",13595,"(2.740538297826941,)",3.502340692978137,3.4422917848953216
50,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",13689,"(2.740538297826941,)",2.9047862501991633,1.6342464918084665
51,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",13770,"(2.740538297826941,)",2.9817463354219167,1.8815077234513458
52,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",13862,"(2.740538297826941,)",2.967853743149791,1.9877616502873139
53,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",13954,"(2.740538297826941,)",3.00486522980478,2.2431220954340474
54,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",14044,"(2.740538297826941,)",3.1810179498768583,2.58656981876931
55,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",14130,"(2.740538297826941,)",3.0599082473279804,2.1205402166177394
56,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",14217,"(2.740538297826941,)",2.9499674955132935,1.890778336908453
57,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",14311,"(2.740538297826941,)",3.1826707590642696,4.274843205759299
58,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, -0.9801821481490235, -0.029632841892530237, 1.0090543713647369]",14395,"(2.740538297826941,)",3.295262161400444,4.6534421930170105
59,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",14486,"(2.03533669347609,)",3.1140383398201874,2.639359588622409
